supply,symbol
0.38095313091878935,FLIXX
0.6984105633509723,PHR
0,XRL
0.7039927851922946,AIR
0.9999995001806412,INCNT
0.5124193316775075,ALIS
0,NYC
0,RBY
0.6796812368887807,PKT
0.512,PST
0.39370657726506375,PRG
0.6072832830833137,DBET
0,BCAP
0,TIPS
0.4000000001454832,CREDO
0.63,POSW
0.023119382364284007,ECN
0.3830663232044712,PIX
0.085146605,ORME
0,DTB
0.8333335223710777,DIVX
0.7592494285714285,ZOI
0.3174337526346899,QAU
0,HEAT
0,TIME
0,IFT
0.9973579,WCT
0,SWT
0.14009482197638748,RMC
0.155099986,SOAR
1.0,ECC
0,FLO
0.043475480007854776,OTN
0.2913459826,BQ
0.3,XNN
0,OCT
1.0,OBITS
0.06615890682236192,DOVU
0.41736776862,ESP
0.3015015,ART
0.9167276261687842,BIS
0,GAM
0,ENRG
0.8000000217387736,CAT
0,BET
0.7555887024880591,LOC
0.7978502619047619,BLUE
0.9955203865617998,MYB
0.629934664500463,DNA
0,BSD
0,BTM
0.5810318699186992,BBR
0,CURE
0.7,CSNO
0.01699941818181818,FRST
0.8262512152199691,B2B
0.3993366056680042,CRED
0.29858526673602526,NIO
0,SEQ
0.0425,PLU
0,BCY
0,NVST
0.9757089468355372,ICOS
0.41185497643779984,HBT
0.7273823522318384,HDG
0.049999999955,ECOB
0.47619113644317784,TGT
0.9198943018191891,LEO
0,SXC
1.0000001428240486,DICE
0.8547253430228355,PFR
0.8837209405,UFO
0.8134901327923187,OXY
0.9536789229389485,VSX
0,PHO
1.0,INXT
0,UNO
0,GCN
0.9093831303720852,ATMS
0,XAUR
0.7565400321100918,TCC
0.799619387025876,BDL
0,SNRG
0.7542170803902577,UNIT
0,HYP
0,VSL
0.8772177543127264,TZC
0.28865656186376043,XMCC
0.8000000051503923,ETT
0,ZNY
0,ZEIT
0.4878466029411765,NTRN
0.3606319702648669,REX
0,ALQO
0.10678571428571429,HUSH
0.0629952675,ZEPH
0,AC
0,XBC
0,SCL
0.5798593297976322,MTNC
0,NVC
0,BTDX
0.168809625,GMT
0.6379429948486529,INN
0.659718825,FRD
0,RIC
0.927251843459785,PRIX
0,CRAVE
0,PIRL
0.9704611358684115,FOR
0.04057143371428571,BTCZ
0.14981625356812242,TOA
0,NOTE
0,GRE
0.0021381243333333335,PZM
0.263034654,HGT
0.9723088571428572,CHIPS
0.1744023561,SSS
0.5100000060860297,REAL
0.8824337463898865,BPL
0.6558022,CVCOIN
0,PDC
0,QRK
0,DRP
0.4734047819149688,ASTRO
0.499999985826605,FYP
0,ADST
0,WDC
0.158095699,PUT
0,ANC
0.3229238728612966,ITNS
0.11383315652173913,CREA
0.7307052340260245,PURE
0.5618762761070539,OPT
0,EGC
0,ADC
0,HUC
0.4981418918918919,GOOD
0,MBRS
0.5238584523809524,TRC
0.8765037682621456,CHC
0.27119464285714284,RUP
0.6477259946368635,YOC
0.5692174,MXT
0.2441165849786805,ATL
0.519197231193605,BON
0,IXC
0.900896329632502,EQT
0.9,ELTCOIN
0.92,CFT
0,BLU
0,BUN
0.7903095177018081,EFL
0.8,PBT
0,DAR
0,NOBL
0.9998313867724764,NKA
0.8998631428571429,EBTC
0.4990439,BTA
0.04536215666666667,ONG
0,CBX
0.35300866,RUSTBITS
0.7071968470173191,HOLD
0.9240358876992032,UNIFY
0.851294831867307,ETBS
0.07946,EFYT
0.239219955,STU
0.8964192979440062,SMART
